Dataset;Training Loss;Test Loss;Training Accuracy;Test Accuracy;Training F1;Test F1;Training Loss K = 100;Test Loss K = 100;Training Accuracy K = 100;Test Accuracy K = 100;Training F1 K = 100;Test F1 K = 100;Training Loss K = 1000;Test Loss K = 1000;Training Accuracy K = 1000;Test Accuracy K = 1000;Training F1 K = 1000;Test F1 K = 1000;Training Loss K = 10000;Test Loss K = 10000;Training Accuracy K = 10000;Test Accuracy K = 10000;Training F1 K = 10000;Test F1 K = 10000
FiftyWords;0.87;1.88;0.8214285714285714;0.609375;0.7376697459286745;0.46169243785315217;352;1.027;0.96875;0.7566964285714286;0.9507086167800454;0.6220953725979238;9;846;1.0;0.7955357142857142;1.0;0.7955357142857142;0.0;6.715;1.0;0.7410714285714286;1.0;0.7410714285714286
FacesUCR;678;1.303;925;0.677734375;0.8966603174603175;0.5537532599056035;207;751;999;0.83173828125;0.9984;0.7457647468788646;4;426;1.0;0.89375;1.0;0.89375;0.0;2.113;1.0;0.8337890625;1.0;0.8337890625
FaceFour;79;421;1.0;0.8863636363636364;1.0;0.8153138528138529;396;707;1.0;0.8909090909090909;1.0;0.8403126503126503;3;353;1.0;0.9613636363636364;1.0;0.9613636363636364;0.0;2.053;1.0;0.7977272727272727;1.0;0.7977272727272727
FaceAll;734;1.33;0.8714285714285714;0.6433649289099526;0.6507159507159509;0.4222747482463127;204;849;0.9853571428571428;0.7733412322274882;0.9399455782312925;0.6255703038404467;4;0.73;1.0;0.7947867298578198;1.0;0.7947867298578198;0.0;6.188;1.0;0.7777251184834123;1.0;0.7777251184834123
EthanolLevel;643;1.08;0.7698412698412699;0.5705645161290323;0.6590713519284948;0.40290480875158285;917;1.335;0.6690476190476191;0.3887096774193548;0.4936845591210671;0.24931697036535744;353;1.457;925;0.47016129032258064;0.824311670105321;0.47016129032258064;13;4.131;1.0;0.480241935483871;1.0;0.480241935483871
ElectricDevices;1.359;1.655;0.5486547085201794;0.4745586708203531;0.3599722331432753;0.3035645600313297;445;1.412;0.8446860986547085;0.6476895119418484;0.6675233937462656;0.4638460637474116;374;3.332;0.8925336322869954;0.6520508826583593;0.7401197850646308;0.6520508826583593;2.25;27.473;0.8992152466367713;0.6535565939771547;0.7536065273374714;0.6535565939771547
Earthquakes;329;671;0.971875;0.5955882352941176;0.7370833333333333;0.32338935574229694;522;586;0.83875;0.7088235294117647;0.48195238095238097;0.46965962142432727;342;0.56;0.964375;0.711764705882353;0.7340634920634921;0.711764705882353;0.12;702;0.99125;625;0.7649523809523809;625
EOGVerticalSignal;1.034;2.349;0.7138888888888889;0.3055555555555556;0.4937018372573928;0.21196278236754418;748;1.698;0.8350000000000001;0.4261111111111111;0.6513541960097514;0.26395274643052424;0.07;2.0;0.9988888888888889;0.46444444444444444;0.9988712522045855;0.46444444444444444;0.0;10.384;1.0;0.4588888888888889;1.0;0.4588888888888889
EOGHorizontalSignal;718;1.922;0.8138888888888889;0.36666666666666664;0.6025765797988021;0.19437468087468088;734;1.593;0.8366666666666667;0.46055555555555555;0.6302392397725732;0.26255850903946143;0.07;1.645;1.0;0.5061111111111111;1.0;0.5061111111111111;0.0;10.051;1.0;0.48;1.0;0.48
ECGFiveDays;433;499;875;0.8598130841121495;0.873015873015873;0.83955634189279;368;511;0.9375;0.7901869158878504;0.9317460317460318;0.7772622496921558;21;375;1.0;0.8964953271028038;1.0;0.8964953271028038;0.0;1.256;1.0;0.8953271028037383;1.0;0.8953271028037383
ECG5000;174;265;0.9596774193548387;0.9323843416370107;0.9403489580908937;0.8482029421086336;139;239;0.9705645161290323;0.9361209964412811;0.9470727122340026;0.842466792302199;0.01;0.26;0.9995967741935484;0.9433718861209964;0.9982795698924731;0.9433718861209964;0.0;1.737;1.0;0.941770462633452;1.0;0.941770462633452
ECG200;393;478;0.8645833333333334;0.7916666666666666;0.881435693935694;0.7892496392496393;335;0.47;875;0.8270833333333333;0.8911986161986163;0.8363059163059163;74;424;1.0;0.8479166666666667;1.0;0.8479166666666667;2;0.73;1.0;0.8562500000000001;1.0;0.8562500000000001
DodgerLoopWeekend;119;214;1.0;0.9779411764705882;0.5;0.29411764705882354;284;436;1.0;0.9220588235294118;0.5;0.25162680456798103;5;315;1.0;0.9514705882352942;0.5;0.9514705882352942;0.0;795;1.0;0.9382352941176471;0.5;0.9382352941176471
DodgerLoopGame;0.29;594;0.9375;0.7426470588235294;0.5;0.4043525102348631;371;603;0.9875;0.7720588235294118;0.5;0.3942512389571213;14;592;1.0;0.8073529411764706;0.5;0.8073529411764706;0.0;1.318;1.0;0.8073529411764706;0.5;0.8073529411764706
DodgerLoopDay;457;1.154;1.0;0.5625;1.0;0.33100699300699304;726;1.435;0.9583333333333334;425;0.8836008436008436;0.26224551744551744;24;1.309;1.0;0.53;1.0;0.53;0.0;5.287;1.0;0.42;1.0;0.42
DistalPhalanxTW;531;972;0.8025;0.6470588235294118;0.6232955266955268;0.4344174235350706;258;913;0.9415;0.6441176470588236;0.8718753487253489;0.46169600769600766;0.01;1.101;1.0;0.6147058823529412;1.0;0.6147058823529412;0.0;6.108;1.0;0.6485294117647058;1.0;0.6485294117647058
DistalPhalanxOutlineCorrect;524;639;765;0.6727941176470589;0.7729170829170823;0.7340514061102297;314;498;877;0.7602941176470588;0.8658083102083098;0.7788935900700609;77;577;0.9926666666666667;0.7772058823529412;0.9820403004403003;0.7772058823529412;1;1.597;1.0;0.7823529411764706;0.9866666666666667;0.7823529411764706
DistalPhalanxOutlineAgeGroup;527;865;0.8475;0.7058823529411765;0.7328880008880009;0.5340972752737458;349;811;0.9085;0.7308823529411764;0.8171785325785326;0.5417389582095465;38;1.131;1.0;0.7044117647058824;1.0;0.7044117647058824;0.0;6.705;1.0;0.7205882352941176;1.0;0.7205882352941176
DiatomSizeReduction;88;229;1.0;0.9802631578947368;1.0;0.973377889167363;257;484;1.0;0.9111842105263158;1.0;0.8756896660844029;1;199;1.0;0.9401315789473684;1.0;0.9401315789473684;0.0;253;1.0;0.9526315789473684;1.0;0.9526315789473684
Crop;1.275;1.304;0.6215277777777778;0.6154166666666666;0.3618083981861756;0.3676736099878955;868;1.092;0.7231111111111111;0.6546666666666666;0.4827471704016131;0.38456633793769823;392;1.514;0.8769444444444444;0.6954166666666667;0.7050166855572391;0.6954166666666667;1.314;10.617;0.9179999999999999;0.7032261904761905;0.776419746919745;0.7032261904761905
CricketZ;1.24;1.983;0.6302083333333334;0.3359375;0.49469273589065255;0.23794367283950613;696;992;0.8453125;0.7109375;0.7672847222222224;0.5927160178886369;54;629;1.0;0.7937500000000001;1.0;0.7937500000000001;0.0;2.13;1.0;0.7739583333333333;1.0;0.7739583333333333
CricketY;1.18;1.778;0.671875;0.4088541666666667;0.5622507315215649;0.30013148778029725;609;977;0.8765625;0.6791666666666667;0.8082220726253465;0.5620539572310405;0.04;0.58;1.0;0.7984375;1.0;0.7984375;0.0;2.07;1.0;0.7807291666666666;1.0;0.7807291666666666
CricketX;1.197;2.059;0.6223958333333334;0.3307291666666667;0.5038318452380955;0.22557653848576475;615;1.039;0.8671875;0.6979166666666666;0.8099229497354498;0.5937526204505371;0.04;825;1.0;0.7619791666666667;1.0;0.7619791666666667;0.0;4.0;1.0;0.746875;1.0;0.746875
Computers;434;694;0.8185483870967742;0.5120967741935484;0.4672102091456931;0.37008958783152335;451;575;0.7991935483870968;0.7153225806451613;0.42739078126174895;0.41462208042853205;223;547;0.9306451612903225;0.7443548387096774;0.4866146756469338;0.7443548387096774;33;1.25;0.9967741935483871;0.7467741935483871;0.5124423963133641;0.7467741935483871
Coffee;124;0.16;1.0;1.0;0.6666666666666666;0.6666666666666666;0.4;563;0.9833333333333334;0.8083333333333333;0.6222222222222221;0.519047619047619;0.02;281;1.0;0.9083333333333333;0.6666666666666666;0.9083333333333333;0.0;265;1.0;875;0.6666666666666666;875
CinCECGTorso;288;1.464;0.95;0.47093023255813954;0.9621164021164021;0.40525758694363356;0.47;837;0.9;0.7008720930232558;0.9007407407407407;0.6297635547054148;21;894;1.0;0.7524709302325581;1.0;0.7524709302325581;0.0;3.691;1.0;0.6975290697674419;1.0;0.6975290697674419
ChlorineConcentration;833;904;0.6336206896551724;0.5770833333333333;0.4557284031421961;0.40171288973372293;636;879;0.7862068965517242;0.6019791666666666;0.6843102874137357;0.48008557337724006;89;654;1.0;0.75296875;1.0;0.75296875;0.0;1.418;1.0;0.7641145833333333;1.0;0.7641145833333333
Chinatown;586;595;0.9375;0.9613095238095238;0.45454545454545453;0.7217687074829933;313;379;0.95;0.9446428571428571;0.5;0.7152171637885925;8;118;1.0;0.9678571428571429;0.5;0.9678571428571429;0.0;174;1.0;0.9630952380952381;0.5;0.9630952380952381
Car;271;837;0.9642857142857143;0.8035714285714286;0.9702380952380951;0.671866625438054;527;844;0.9142857142857143;0.6785714285714286;0.8834467120181406;0.572881364667079;31;595;1.0;825;1.0;825;0.0;2.442;1.0;0.7785714285714286;1.0;0.7785714285714286
CBF;398;549;0.9583333333333334;0.8270089285714286;0.9619047619047619;0.8004732701161272;301;436;1.0;925;1.0;0.9048654487047344;3;89;1.0;0.9752232142857142;1.0;0.9752232142857142;0.0;0.14;1.0;0.9698660714285714;1.0;0.9698660714285714
BirdChicken;265;0.64;0.9375;0.6875;0.5;0.3636363636363636;0.32;502;0.95;0.6375;0.5;0.41090909090909095;13;159;1.0;975;0.5;975;0.0;418;1.0;0.8125;0.5;0.8125
BeetleFly;265;418;0.9375;875;0.5;0.4166666666666667;346;479;0.9375;925;0.45454545454545453;0.4309090909090909;16;0.31;1.0;0.9375;0.5;0.9375;0.0;211;1.0;0.8875;0.5;0.8875
Beef;539;0.78;0.9166666666666666;0.7916666666666666;0.8364598364598365;0.6013888888888889;699;1.065;0.9083333333333333;0.6583333333333333;0.8090989257655924;0.4426851851851852;41;918;1.0;0.8250000000000001;1.0;0.8250000000000001;0.0;4.69;1.0;0.8333333333333334;1.0;0.8333333333333334
BME;364;769;875;0.6597222222222222;0.7115181115181115;0.551569418236085;204;525;1.0;0.8250000000000001;1.0;0.6544392233281123;1;399;1.0;0.8694444444444445;1.0;0.8694444444444445;0.0;1.263;1.0;0.8708333333333333;1.0;0.8708333333333333
ArrowHead;333;828;0.90625;0.6547619047619048;0.9158730158730158;0.3478410478410479;226;995;0.96875;0.5988095238095238;0.9603174603174603;0.31949475568523195;5;1.051;1.0;0.6630952380952382;1.0;0.6630952380952382;0.0;4.82;1.0;0.6619047619047619;1.0;0.6619047619047619
AllGestureWiimoteZ;632;3.647;0.9763513513513513;0.21839080459770116;0.9036855036855037;0.08045252533758283;931;1.386;0.8324324324324325;0.5232758620689655;0.57367595017595;0.2440470795700681;0.07;1.198;1.0;0.6206896551724138;1.0;0.6206896551724138;0.0;5.43;1.0;0.6022988505747127;1.0;0.6022988505747127
AllGestureWiimoteY;713;2.311;0.9256756756756757;0.28735632183908044;0.7257466257466255;0.10818597324344446;774;1.401;0.85;0.5304597701149425;0.5746214146214146;0.23151058562552815;36;1.187;1.0;0.6336206896551724;1.0;0.6336206896551724;0.0;5.976;1.0;0.596551724137931;1.0;0.596551724137931
AllGestureWiimoteX;918;2.226;0.8648648648648649;0.2471264367816092;0.583164433164433;0.09830276486269912;808;1.259;0.8385135135135136;0.5465517241379311;0.6011916611916611;0.31105628219010806;53;1.117;1.0;0.621551724137931;1.0;0.621551724137931;0.0;5.735;1.0;0.5905172413793104;1.0;0.5905172413793104
Adiac;1.547;1.852;0.7083333333333334;0.5546875;0.5832709535834537;0.4093921510588176;609;1.214;0.8869791666666667;0.6708333333333334;0.82710417668751;0.534684810890168;35;947;1.0;0.7239583333333334;1.0;0.7239583333333334;0.0;6.05;1.0;0.6770833333333334;1.0;0.6770833333333334
ACSF1;0.75;1.284;0.8020833333333334;0.6041666666666666;0.6249338624338624;0.4283609908609909;995;1.058;0.7708333333333334;0.6979166666666666;0.5527343952343953;0.4601161801161801;166;459;0.96875;0.86875;0.8808080808080808;0.86875;8;1.251;1.0;0.8104166666666667;1.0;0.8104166666666667
