Dataset;Training Loss;Test Loss;Training Accuracy;Test Accuracy;Training F1;Test F1;Training Loss K = 100;Test Loss K = 100;Training Accuracy K = 100;Test Accuracy K = 100;Training F1 K = 100;Test F1 K = 100;Training Loss K = 1000;Test Loss K = 1000;Training Accuracy K = 1000;Test Accuracy K = 1000;Training F1 K = 1000;Test F1 K = 1000;Training Loss K = 10000;Test Loss K = 10000;Training Accuracy K = 10000;Test Accuracy K = 10000;Training F1 K = 10000;Test F1 K = 10000
TwoLeadECG;494;631;0.8125;0.6329225352112676;0.7619047619047619;0.5624748490945671;303;631;0.9375;0.6447183098591549;0.9444444444444444;0.5222114896058555;22;671;1.0;0.6929577464788733;1.0;0.6929577464788733;0.0;3.033;1.0;0.7075704225352113;1.0;0.7075704225352113
Trace;311;514;875;0.71875;0.8481701940035272;0.6629960317460317;44;72;1.0;0.9854166666666666;1.0;0.9761111111111112;1;18;1.0;0.9916666666666667;1.0;0.9916666666666667;0.0;648;1.0;0.96875;1.0;0.96875
ToeSegmentation2;0.53;694;0.6875;0.5;0.7151515151515151;0.1378205128205128;0.25;423;0.96875;0.83125;0.9642857142857143;0.13807692307692307;9;324;1.0;0.871875;1.0;0.871875;0.0;1.041;1.0;0.8859375;1.0;0.8859375
ToeSegmentation1;431;683;925;0.5803571428571429;0.9314285714285715;0.374451738737453;316;377;975;0.9133928571428571;0.9714285714285715;0.44277341705913137;23;148;1.0;0.9598214285714286;1.0;0.9598214285714286;0.0;463;1.0;0.9428571428571428;1.0;0.9428571428571428
SyntheticControl;689;841;0.8783783783783784;0.7601351351351351;0.7320076320076317;0.5810581510581506;53;85;0.9993243243243243;0.9817567567567568;0.9971171171171171;0.9297110097110097;1;52;1.0;0.9851351351351352;1.0;0.9851351351351352;0.0;714;1.0;0.9736486486486486;1.0;0.9736486486486486
Symbols;215;573;0.9583333333333334;0.8145161290322581;0.9555555555555556;0.7350384897360704;212;448;1.0;0.9139112903225807;1.0;0.8776490868748933;1;228;1.0;0.9473790322580645;1.0;0.9473790322580645;0.0;1.006;1.0;0.9233870967741935;1.0;0.9233870967741935
SwedishLeaf;0.66;788;0.8588709677419355;0.8060897435897436;0.7880325140809012;0.6981969881969883;151;359;0.9899193548387096;0.9022435897435898;0.9822529441884281;0.8375938281295424;5;249;1.0;0.933974358974359;1.0;0.933974358974359;0.0;1.621;1.0;0.9096153846153846;1.0;0.9096153846153846
Strawberry;263;326;0.9161184210526315;875;0.6500132908027645;0.6063366585105715;195;253;0.9565789473684211;0.9130434782608696;0.6966494470441837;0.6549157846983935;0.04;0.12;0.9944078947368421;0.9576086956521739;0.7198496240601503;0.9576086956521739;1;174;1.0;0.9603260869565218;0.7236842105263158;0.9603260869565218
StarLightCurves;265;294;868;0.8550777453838678;0.7854679986679982;0.7707615549695235;89;115;976;0.9639455782312926;0.9558149761349762;0.9388953230838567;9;99;1.0;0.9720602526724976;1.0;0.9720602526724976;0.0;472;1.0;0.9702380952380952;1.0;0.9702380952380952
SonyAIBORobotSurface2;438;551;0.9583333333333334;0.8109243697478992;0.9629629629629629;0.8199893477204392;314;507;0.9916666666666667;0.8115546218487395;0.9925925925925926;0.8275920624660115;0.01;352;1.0;0.8422268907563025;1.0;0.8422268907563025;0.0;526;1.0;0.8308823529411765;1.0;0.8308823529411765
