Dataset;Training Accuracy;Test Accuracy;Training F1;Test F1;Training Accuracy K = 100;Test Accuracy K = 100;Training F1 K = 100;Test F1 K = 100;Training Accuracy K = 1000;Test Accuracy K = 1000;Training F1 K = 1000;Test F1 K = 1000;Training Accuracy K = 10000;Test Accuracy K = 10000;Training F1 K = 10000;Test F1 K = 10000
UMD;1.0;0.846875;1.0;0.6835473835468292;1.0;0.63125;1.0;0.391918683797121;1.0;0.690625;1.0;0.4072019442915916;1.0;0.6953125;1.0;0.43022156208753587
TwoPatterns;0.9169354915618897;0.8263999998569489;0.8865617543458939;0.7738040417432785;0.9993951618671417;0.9474500060081482;0.9991568505764008;0.9283249974250793;1.0;0.9980000138282775;1.0;0.9973355929056802;1.0;0.9969000071287155;1.0;0.9958151936531067
TwoLeadECG;0.8739130434782609;0.7679184799973017;0.8168116020119709;0.6802181769401175;0.9891304347826086;0.643963694206134;0.93913043530091;0.6317670698015182;1.0;0.6750973805929089;0.9478260869565217;0.6317670698015182;1.0;0.658200304920575;0.9478260869565217;0.6317670698015182
Trace;0.9145833283662796;0.7250000029802323;0.8907925546169281;0.6839671552181243;1.0;0.9395833343267441;1.0;0.9157517582178116;1.0;0.9479166567325592;1.0;0.9232804179191589;1.0;0.9499999940395355;1.0;0.917667543888092
ToeSegmentation2;0.81875;0.5570673076923077;0.5;0.20312764438299036;0.96875;0.8263942307692307;0.5;0.20312764438299036;1.0;0.8371153846153846;0.5;0.20312764438299036;1.0;0.8246153846153846;0.5;0.20312764438299036
ToeSegmentation1;0.95625;0.5669642865657807;0.5;0.48571428656578064;0.99375;0.7812499970197677;0.5;0.4868733659386635;1.0;0.8142857164144516;0.5;0.4905703917145729;1.0;0.8312500059604645;0.5;0.49047881066799165
SyntheticControl;0.9618055433034897;0.8354166597127914;0.9442786574363708;0.6637468189001083;1.0;0.9555555403232574;1.0;0.8579435974359513;1.0;0.9694444298744201;1.0;0.8945299237966537;1.0;0.9618055403232575;1.0;0.8767743438482285
Symbols;1.0;0.794753611734764;1.0;0.7189096847011817;1.0;0.5963357142707211;1.0;0.48116947763828777;1.0;0.6184948880588589;1.0;0.5042786260196312;1.0;0.6178999860502368;1.0;0.5053068774669015
SwedishLeaf;0.89375;0.8164042103767395;0.8273767918348313;0.7002176977920532;0.9987500011920929;0.7384357856941224;0.9976984113454819;0.6056790279769898;1.0;0.8305705258369447;1.0;0.7279241318130494;1.0;0.8098021123313904;1.0;0.6959270363807679
Strawberry;0.9489997431854634;0.9171253087713912;0.9538971455606706;0.8252113756295797;0.934541085902085;0.8716707619138666;0.9427264468510427;0.7854725898600913;1.0;0.933574939354046;1.0;0.8242840597758422;1.0;0.9219594668697666;1.0;0.8208883923855987
